,Accuracy score,False positive rate,False negative rate,F1 score,Precision score,Recall score,Selection rate,Demographic parity difference,Equalized odds difference,SR Female,SR Male,FPR Male,FPR Female,FNR Male,FNR Female,Model_name
min,0.7426289926289926,0.19566993464052287,0.30198019801980197,0.5484913793103448,0.4639927073837739,0.64,0.3108108108108108,0.009021691166927692,0.08368052946366197,0.31135531135531136,0.29907407407407405,0.1504539559014267,0.2602880658436214,0.31075110456553756,0.22807017543859648,Treshold_Optimizer
mean,0.7535397771120829,0.21842713843264755,0.33488132482790023,0.5651141751281191,0.4914793507823879,0.6651186751720998,0.32603395710165745,0.016961039737588817,0.10978216616227712,0.32914975098462346,0.32438897568637814,0.17653540647421653,0.28429450884492,0.34004427537265514,0.3068644141647846,Treshold_Optimizer
max,0.777948402948403,0.2354825790949139,0.36,0.6094003241491085,0.5407478427612655,0.698019801980198,0.33722358722358725,0.03486753176534202,0.14087941372418386,0.35431654676258995,0.337251356238698,0.19818652849740934,0.3099009900990099,0.3646677471636953,0.415929203539823,Treshold_Optimizer
min,0.8086609336609336,0.10659477395271671,0.36054421768707484,0.5951602354480051,0.6069986541049798,0.5752212389380531,0.22665847665847666,0.15415214559791598,0.0698449565433994,0.09839167455061495,0.28431372549019607,0.13930013458950202,0.04855371900826446,0.36084142394822005,0.358974358974359,Base_model
mean,0.8180029650746569,0.11515178813223563,0.392492224445143,0.6162838697215963,0.6256367211424613,0.6075077755548571,0.23368463992504518,0.1772986068231709,0.09372008447964847,0.11503474990939007,0.292333356732561,0.14995997365272032,0.060199410012318724,0.3841793003147003,0.43908127577507494,Base_model
max,0.8316953316953317,0.12128612128612129,0.4247787610619469,0.6428571428571428,0.6700898587933247,0.6394557823129252,0.23925061425061425,0.19548590778318098,0.11418853255587957,0.1303501945525292,0.3020881670533643,0.15755627009646303,0.07562189054726368,0.4096209912536443,0.5238095238095238,Base_model
min,0.7638206388206388,0.1610410736071574,0.3494132985658409,0.530359355638166,0.4841628959276018,0.5848329048843187,0.26996314496314494,0.007423409269442238,0.04235805541543411,0.23163841807909605,0.27530920751259735,0.14285714285714285,0.18710359408033828,0.35015290519877673,0.3253968253968254,ExponentiatedGradient
mean,0.7723043978608916,0.1760667260344754,0.3904411361997763,0.5629669636668252,0.5234255013982049,0.6095588638002237,0.2804885659237824,0.03601650754257434,0.07445854309367748,0.25641809600882665,0.29243460355140094,0.15190637145579977,0.2142462360507996,0.38846360433385035,0.40018366873181266,ExponentiatedGradient
max,0.7819410319410319,0.18561671353957412,0.41516709511568123,0.5775462962962963,0.5494880546075085,0.6505867014341591,0.2951474201474201,0.05687571136484196,0.11563407030494144,0.2873134328358209,0.30520977408944217,0.16411960132890366,0.23875802997858672,0.41324921135646686,0.5116279069767442,ExponentiatedGradient
min,0.8065110565110565,0.10919309514251305,0.3795423956931359,0.6029506093649775,0.6004993757802747,0.5838509316770186,0.223518575376113,0.15681679984898478,0.07826740775819811,0.1010194624652456,0.2842056932966024,0.14333112143331123,0.04430379746835443,0.37597503900156004,0.3055555555555556,GridSearch
mean,0.8158531539326749,0.11719840982937199,0.39508680264635404,0.6126835537862891,0.6209137709475157,0.6049131973536459,0.2346061572919111,0.18016674057802148,0.09823053102444439,0.1140670583173103,0.29423379889533186,0.15470631887118563,0.05803608673720282,0.3888618434197067,0.4289246449492373,GridSearch
max,0.8230958230958231,0.12981744421906694,0.4161490683229814,0.6259640102827764,0.6349413298565841,0.620457604306864,0.246007371007371,0.2022176888768102,0.11980072891338117,0.13184772516248838,0.30996309963099633,0.17498336660013306,0.07232704402515723,0.4122938530734633,0.48854961832061067,GridSearch
