,Accuracy score,False positive rate,False negative rate,F1 score,Precision score,Recall score,Selection rate,Demographic parity difference,Equalized odds difference,SR Female,SR Male,FPR Male,FPR Female,FNR Male,FNR Female,Model_name
min,0.7613636363636364,0.21645723550871504,0.20375,0.5922700054436582,0.4865831842576029,0.7135614702154626,0.3369164619164619,0.0021743004811975997,0.14674809160305347,0.32968036529680367,0.33695652173913043,0.18286099865047234,0.267005076142132,0.22740524781341107,0.041666666666666664,Treshold_Optimizer
mean,0.7681276728482747,0.22938528496705404,0.2398267811411691,0.6119712469459146,0.5123542020251526,0.7601732188588309,0.35720655341472046,0.013933728913896637,0.18175018786036345,0.3559935648828835,0.35785351950897487,0.19273283331910704,0.2872873279943228,0.26711861782668983,0.08536842996632636,Treshold_Optimizer
max,0.7754914004914005,0.23967935871743487,0.2864385297845374,0.6354114713216958,0.5286307053941909,0.79625,0.3700859950859951,0.02672556862796277,0.22728898426323318,0.3864734299516908,0.37670609645131936,0.2148978246539222,0.3114754098360656,0.31516936671575846,0.11428571428571428,Treshold_Optimizer
min,0.8353808353808354,0.045949214026602174,0.41818181818181815,0.5911251980982568,0.696551724137931,0.48129032258064514,0.14957002457002458,0.1377621719697418,0.10211976682564916,0.03958529688972667,0.19522278364722095,0.06377383300460224,0.00819672131147541,0.3884673748103187,0.5315315315315315,Base_model
mean,0.8395935064072921,0.06217265949341144,0.4703709087742566,0.613364458442984,0.7302079787003735,0.5296290912257432,0.17481025559011437,0.17995166709111615,0.18077331164165658,0.05437728216604922,0.23432894925716535,0.09220315968218737,0.014826433228081493,0.44312950530949247,0.623902816951149,Base_model
max,0.8504299754299754,0.07059767348576013,0.5187096774193548,0.6478669558929863,0.7659137577002053,0.5818181818181818,0.1941031941031941,0.19731675322416856,0.2858171538297418,0.06811731315042574,0.2546612096407458,0.10536649214659685,0.019169329073482427,0.5,0.7247706422018348,Base_model
min,0.81486030089039,0.041768045417680456,0.5319426336375489,0.5309882747068677,0.6831896551724138,0.4189873417721519,0.1332923832923833,0.0024304962601181535,0.2087088306135152,0.11839708561020036,0.14087117701575533,0.02843601895734597,0.06096256684491978,0.5626911314984709,0.2698412698412698,ExponentiatedGradient
mean,0.8250363986394074,0.05476375832070819,0.5539276094245167,0.5509486027860729,0.7214408953622398,0.44607239057548337,0.14901252188633213,0.01804822010426404,0.27469998989822914,0.1395909445652815,0.153718622006359,0.04307869981460451,0.07324189435685163,0.5951371636188407,0.32043717372061165,ExponentiatedGradient
max,0.8332309582309583,0.06661251015434606,0.5810126582278481,0.5747303543913714,0.7626728110599078,0.4680573663624511,0.16185503685503685,0.03717601411204041,0.32026612200045396,0.1565934065934066,0.17167977788061084,0.05850706119704102,0.08562367864693446,0.6152716593245228,0.3669724770642202,ExponentiatedGradient
min,0.8141891891891891,0.043689320388349516,0.5431145431145431,0.507936507936508,0.6624737945492662,0.3872611464968153,0.12649677617439362,0.003914656771799613,0.2379129129129129,0.13309024612579762,0.12181565539601667,0.02596537949400799,0.06533192834562697,0.5772005772005772,0.2890625,GridSearch
mean,0.8224564140437645,0.054035482619727605,0.5668786483735189,0.5399176633320784,0.718125247157996,0.43312135162648113,0.14532781029557204,0.014373147448753449,0.2888650217618337,0.14165804820567982,0.14706980394161925,0.04023293520906812,0.0756904572904489,0.6103134062793993,0.32144838451756563,GridSearch
max,0.8298525798525799,0.06450320512820513,0.6127388535031847,0.5644654088050315,0.7461368653421634,0.4568854568854569,0.15694103194103193,0.02694421399432073,0.33878787878787875,0.15384615384615385,0.16553901668921966,0.052770448548812667,0.093,0.6590563165905632,0.375,GridSearch
