,Accuracy score,False positive rate,False negative rate,F1 score,Precision score,Recall score,Selection rate,Demographic parity difference,Equalized odds difference,SR Female,SR Male,FPR Male,FPR Female,FNR Male,FNR Female,Model_name
min,0.7794840294840295,0.14436334144363341,0.271712158808933,0.5981191222570533,0.5279685966633955,0.6662011173184358,0.26996314496314494,0.0004342509596265698,0.18834565339558207,0.2737642585551331,0.25837540156034877,0.1072618254497002,0.20207253886010362,0.3033381712626996,0.025210084033613446,Treshold_Optimizer
mean,0.7924821156322539,0.180551261167411,0.29331232266067875,0.621246390523684,0.55468177378544,0.7066876773393214,0.3073000583132607,0.015971210661477647,0.24445245623120004,0.30730087094134345,0.30725357939788034,0.14740651230836946,0.23265151748413476,0.3302388229858252,0.08578636675462517,Treshold_Optimizer
max,0.8197174447174447,0.20147722609766106,0.33379888268156427,0.6557184750733138,0.6109289617486339,0.728287841191067,0.3332309582309582,0.04474753817807925,0.30907563025210083,0.3400921658986175,0.3330232558139535,0.1680892974392646,0.27448979591836736,0.37271214642262895,0.13043478260869565,Treshold_Optimizer
min,0.7865479115479116,0.0,0.7961696306429549,0.28717948717948716,0.9724137931034482,0.16766467065868262,0.04175621737795517,0.0351007955578026,0.002488090921593883,0.009927797833935019,0.05456212746446584,0.0,0.0,0.7852257181942545,0.8041237113402062,Base_model
mean,0.8036609676078512,0.0007645148761286957,0.812733451373519,0.3146170862509526,0.9872550192575632,0.18726654862648096,0.045637538199711974,0.045121207103622725,0.05447799389029221,0.015457093225762997,0.060578300329385715,0.001110446221053189,0.00020964567902455425,0.8044246621673352,0.8584050378733087,Base_model
max,0.8203316953316954,0.0016090104585679806,0.8323353293413174,0.33748584371460927,1.0,0.20383036935704515,0.052825552825552825,0.05815403945740768,0.11406250000000001,0.022157996146435453,0.07152557718424626,0.0026298487836949377,0.0010515247108307045,0.8234421364985163,0.9166666666666666,Base_model
min,0.7866134479582437,0.004024144869215292,0.7848761408083442,0.26260257913247365,0.8588235294117647,0.15342465753424658,0.03777641277641278,0.004236398101028042,0.013367130515751901,0.030054644808743168,0.0407695831424645,0.0,0.009584664536741214,0.790519877675841,0.6904761904761905,ExponentiatedGradient
mean,0.799300165434645,0.0064425851235183655,0.8134092880760374,0.30883963209882304,0.9027333894703551,0.18659071192396265,0.049875546828264054,0.01417752025054637,0.07748806231332919,0.04098738521131057,0.054317625841651326,0.0009281636341693502,0.015150469567739558,0.8246633827684935,0.749820144288144,ExponentiatedGradient
max,0.8105036855036855,0.009836065573770493,0.8465753424657534,0.34846884899683206,0.9285714285714286,0.2151238591916558,0.056203931203931204,0.030544374222148965,0.13138639931135754,0.05503731343283582,0.06524757056918093,0.0026402640264026403,0.023554603854389723,0.8596214511041009,0.8083333333333333,ExponentiatedGradient
min,0.7997542997542998,0.002839756592292089,0.7686658506731946,0.31735889243876464,0.8595505617977528,0.19151670951156813,0.04944717444717445,5.999841706303549e-05,0.1879786019114023,0.04642525533890436,0.04843173431734318,0.0,0.005186721991701245,0.804005722460658,0.559322033898305,GridSearch
mean,0.8053496758823746,0.0058201002080381595,0.7900072083236279,0.341706206415961,0.9196318650726903,0.2099927916763721,0.0550044074414661,0.006713762552587099,0.22993709186602634,0.055617100924928733,0.05470158085698733,0.0015336073882179786,0.012600998241658645,0.8245388825756329,0.5946017907096065,GridSearch
max,0.8145532698802579,0.009948269001193792,0.8084832904884319,0.3698630136986301,0.9593023255813954,0.23133414932680538,0.06296068796068796,0.015906500976774464,0.2801169590643275,0.06433823529411764,0.06478102189781022,0.005398110661268556,0.016488845780795344,0.843609022556391,0.6403508771929824,GridSearch
