,Accuracy score,False positive rate,False negative rate,F1 score,Precision score,Recall score,Selection rate,Demographic parity difference,Equalized odds difference,SR Female,SR Male,FPR Male,FPR Female,FNR Male,FNR Female
Base_Model_LogisticRegression,0.8395935064072921,0.0621726594934114,0.4703709087742566,0.613364458442984,0.7302079787003735,0.5296290912257432,0.1748102555901143,0.1799516670911161,0.1807733116416565,0.0543772821660492,0.2343289492571653,0.0922031596821873,0.0148264332280814,0.4431295053094924,0.623902816951149
GridSearch_LogisticRegression,0.8224564140437645,0.0540354826197276,0.5668786483735189,0.5399176633320784,0.718125247157996,0.4331213516264811,0.145327810295572,0.0143731474487534,0.2888650217618337,0.1416580482056798,0.1470698039416192,0.0402329352090681,0.0756904572904489,0.6103134062793993,0.3214483845175656
ExponentiatedGradient_LogisticRegression,0.8250363986394074,0.0547637583207081,0.5539276094245167,0.5509486027860729,0.7214408953622398,0.4460723905754833,0.1490125218863321,0.018048220104264,0.2746999898982291,0.1395909445652815,0.153718622006359,0.0430786998146045,0.0732418943568516,0.5951371636188407,0.3204371737206116
ThresholdOptimizer_LogisticRegression,0.7681276728482747,0.229385284967054,0.2398267811411691,0.6119712469459146,0.5123542020251526,0.7601732188588309,0.3572065534147204,0.0139337289138966,0.1817501878603634,0.3559935648828835,0.3578535195089748,0.192732833319107,0.2872873279943228,0.2671186178266898,0.0853684299663263
Base_Model_Random Forest,0.8036609676078512,0.0007645148761286,0.812733451373519,0.3146170862509526,0.9872550192575632,0.1872665486264809,0.0456375381997119,0.0451212071036227,0.0544779938902922,0.0154570932257629,0.0605783003293857,0.0011104462210531,0.0002096456790245,0.8044246621673352,0.8584050378733087
GridSearch_Random Forest,0.8053496758823746,0.0058201002080381,0.7900072083236279,0.341706206415961,0.9196318650726903,0.2099927916763721,0.0550044074414661,0.006713762552587,0.2299370918660263,0.0556171009249287,0.0547015808569873,0.0015336073882179,0.0126009982416586,0.8245388825756329,0.5946017907096065
ExponentiatedGradient_Random Forest,0.799300165434645,0.0064425851235183,0.8134092880760374,0.308839632098823,0.9027333894703552,0.1865907119239626,0.049875546828264,0.0141775202505463,0.0774880623133291,0.0409873852113105,0.0543176258416513,0.0009281636341693,0.0151504695677395,0.8246633827684935,0.749820144288144
ThresholdOptimizer_Random Forest,0.7924821156322539,0.180551261167411,0.2933123226606787,0.621246390523684,0.55468177378544,0.7066876773393214,0.3073000583132607,0.0159712106614776,0.2444524562312,0.3073008709413434,0.3072535793978803,0.1474065123083694,0.2326515174841347,0.3302388229858252,0.0857863667546251
Base_Model_XGB,0.8733146581281368,0.0608750726139617,0.3335299767197573,0.7169148244936989,0.7764733180842255,0.6664700232802427,0.2065661919630295,0.1788429920290204,0.0832863356195259,0.0869369543789517,0.2657799464079722,0.0848345814381222,0.0231370732416134,0.322795041533116,0.3912177398756767
GridSearch_XGB,0.8488066621202943,0.0607095999361095,0.4363633012338297,0.642044741870152,0.7465385919047562,0.5636366987661702,0.1818129200459565,0.0153782216845516,0.3335703144427245,0.1850264272475128,0.1802425797993743,0.0333312614027931,0.1038475378849048,0.4863022934667779,0.1527319790240533
ExponentiatedGradient_XGB,0.8507418344461636,0.0601677960109995,0.430403868157982,0.6474913487743497,0.7505842342269811,0.5695961318420178,0.1828870382370535,0.0133482741179041,0.2968896966559681,0.1757120950473227,0.1864934129056745,0.0373417674100608,0.0962163055565979,0.4749684369764253,0.1780787403204572
